"I (mA)" Q P 1/I
131 9.5 37 0.00763358778625954
158 7.5 37 0.00632911392405063
185 6.5 37 0.00540540540540541
212 6 37 0.00471698113207547
238 5.5 37 0.00420168067226891
265 5 37 0.00377358490566038
291 4.5 37 0.00343642611683849
316 4 37 0.00316455696202532
