"I (mA)" Q P 1/I
131 10 37 0.00763358778625954
158 8.5 37 0.00632911392405063
185 7 37 0.00540540540540541
212 6.5 37 0.00471698113207547
239 5.5 37 0.00418410041841004
264 5 37 0.00378787878787879
290 4.5 37 0.00344827586206897
314 4 37 0.00318471337579618
