"I (mA)" Q P 1/I
131 8.5 37 0.00763358778625954
158 7 37 0.00632911392405063
185 6 37 0.00540540540540541
212 5.5 37 0.00471698113207547
238 4.5 37 0.00420168067226891
264 4 37 0.00378787878787879
289 3.5 37 0.00346020761245675
314 3.5 37 0.00318471337579618
