"I (mA)" Q P 1/I
131 9 37 0.00763358778625954
159 7.5 37 0.00628930817610063
186 6.5 37 0.00537634408602151
213 5.5 37 0.00469483568075117
239 5 37 0.00418410041841004
265 4.5 37 0.00377358490566038
289 4 37 0.00346020761245675
315 3.5 37 0.00317460317460317
