"I (mA)" Q P 1/I
132 11 37 0.00757575757575758
160 9 37 0.00625
188 7.5 37 0.00531914893617021
215 6.5 37 0.00465116279069767
240 6 37 0.00416666666666667
266 5.5 37 0.0037593984962406
291 5 37 0.00343642611683849
317 4.5 37 0.00315457413249211
